time	UnixTime	FPS	HeadPos	HeadRot	Valid	GazeOrigin	GazeDir	Conf	FixPoint	LBlink	RBlink	LPupil	RPupil	LOrigin	LDir	ROrigin	RDir	HitPos	HitName	
2.16629	1763568710.093	72.323318	-257.578244,172.919858,168.423981	0.016879,0.054629,-0.189819,0.980153	T	-257.578243,172.919858,168.423981	0.826111,-0.498047,-0.26361	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.381812,47.401552,101.986785	StaticMeshActor_1	
2.180422	1763568710.107	71.087341	-257.601699,172.914146,168.420227	0.015427,0.055437,-0.190051,0.980086	T	-257.601699,172.914146,168.420227	0.825397,-0.498966,-0.264107	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.529634,47.130904,101.839972	StaticMeshActor_1	
2.194208	1763568710.121	71.085854	-257.627233,172.902263,168.412888	0.014602,0.056426,-0.190349,0.979985	T	-257.627233,172.902262,168.412888	0.824545,-0.499716,-0.265348	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.72056,46.899977,101.50391	StaticMeshActor_1	
2.208286	1763568710.134	73.014534	-257.643832,172.895163,168.406784	0.015277,0.056693,-0.190977,0.979837	T	-257.643832,172.895163,168.406784	0.823788,-0.500471,-0.266275	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.883818,46.675461,101.249913	StaticMeshActor_1	
2.222167	1763568710.148	68.860573	-257.648021,172.892255,168.417282	0.015572,0.056209,-0.191627,0.979733	T	-257.648022,172.892255,168.417282	0.823379,-0.501508,-0.265589	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.943426,46.382068,101.418072	StaticMeshActor_1	
2.23607	1763568710.163	73.85305	-257.65327,172.882824,168.436661	0.015599,0.055164,-0.192572,0.979607	T	-257.653269,172.882824,168.436661	0.82294,-0.503219,-0.263706	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.983803,45.894758,101.888127	StaticMeshActor_1	
2.249959	1763568710.176	71.922279	-257.673398,172.862541,168.443344	0.015058,0.055428,-0.193647,0.979389	T	-257.673398,172.862539,168.443344	0.821663,-0.505247,-0.263809	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-50.225152,45.300574,101.836293	StaticMeshActor_1	
2.263895	1763568710.191	71.872116	-257.694452,172.840893,168.432434	0.014884,0.056554,-0.194986,0.979061	T	-257.694452,172.840893,168.432434	0.819675,-0.507472,-0.265716	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-50.635445,44.647618,101.307514	StaticMeshActor_1	
2.277901	1763568710.205	71.71595	-257.707728,172.828818,168.419098	0.015616,0.056944,-0.196249,0.978775	T	-257.707728,172.828819,168.419098	0.818179,-0.50926,-0.266903	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-50.93761,44.128378,100.965362	StaticMeshActor_1	
2.291741	1763568710.218	71.50415	-257.714114,172.820615,168.409302	0.016025,0.057284,-0.197434,0.97851	T	-257.714114,172.820615,168.409302	0.930766,-0.267917,-0.248786	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.319631,105.924313,106.289823	StaticMeshActor_1	
